Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",181.710000,-88.870000,0.000000,bottom
"C2","22u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",199.660000,-94.140000,0.000000,bottom
"C3","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",192.764600,-113.952500,90.000000,bottom
"C4","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",185.514600,-119.030000,180.000000,bottom
"C5","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",195.940000,-95.050000,90.000000,bottom
"C6","47u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.890000,-115.240000,90.000000,bottom
"C7","56p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",196.150000,-86.470000,-90.000000,bottom
"C8","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.530000,-86.220000,180.000000,bottom
"C9","2.2n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",200.270000,-83.080000,180.000000,bottom
"C10","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",169.777500,-108.708000,180.000000,bottom
"C11","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",167.042500,-78.450000,180.000000,bottom
"C12","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",172.120000,-85.702500,-90.000000,bottom
"C13","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",169.972500,-92.280000,0.000000,bottom
"C14","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",169.615600,-119.926200,180.000000,bottom
"C15","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",169.422500,-101.950000,0.000000,bottom
"C16","47u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",168.250000,-86.210000,180.000000,bottom
"D1","SSB44-M3_5BT","DIOM5436X244N",200.840000,-98.650000,180.000000,bottom
"IC1","LTM8074EY#PBF","BGA25C65P5X5_400X400X198",188.954600,-115.280000,90.000000,bottom
"IC2","LT3581IDE#PBF","SON50P300X400X80-15N-D",192.960000,-87.787500,180.000000,bottom
"IC3","LTM8074EY#PBF","BGA25C65P5X5_400X400X198",168.390000,-82.185000,180.000000,bottom
"IC4","LT3015IMSE-15#PBF","SOP65P490X110-13N",170.640000,-96.230000,-90.000000,bottom
"IC5","LT1963AES8-3.3#TRPBF","SOIC127P599X175-8N",168.670000,-113.220000,90.000000,bottom
"J1","5-1775444-3","517754443",153.090000,-98.205000,90.000000,bottom
"J4","09195346829","2x17 Connector",213.180000,-96.810000,90.000000,bottom
"J5","2383942-2","23839422",147.520000,-81.790000,-90.000000,bottom
"J6","5-1775444-3","517754443",144.910000,-98.175000,90.000000,bottom
"L1","3.3u","MSD7342332MLC",189.680000,-98.795000,0.000000,bottom
"R1","4.7K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",141.210000,-89.460000,90.000000,bottom
"R2","4.7K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",142.730000,-89.470000,90.000000,bottom
"R3","25.5K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",188.724600,-111.510000,180.000000,bottom
"R4","60.4K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",194.850000,-83.040000,-90.000000,bottom
"R5","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",201.050000,-89.380000,90.000000,bottom
"R6","45.3K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",188.862100,-119.030000,0.000000,bottom
"R7","124K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",188.600000,-87.690000,180.000000,bottom
"R8","6.19K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",198.060000,-86.450000,90.000000,bottom
"R9","40.2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",164.650000,-82.322500,-90.000000,bottom
"R10","8.66K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",170.447500,-118.018000,0.000000,bottom
"R11","3.3K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",167.087500,-118.018000,0.000000,bottom
"R12","118K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",169.197500,-100.200000,180.000000,bottom
"R13","46.4K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",172.547500,-100.210000,180.000000,bottom
"R14","210K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",172.120000,-82.352500,90.000000,bottom
"R33","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-77.746900,180.000000,bottom
"R40","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-82.844042,180.000000,bottom
"R41","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-80.295471,180.000000,bottom
"R56","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-87.941184,180.000000,bottom
"R57","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-85.392613,180.000000,bottom
"R72","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-93.038326,180.000000,bottom
"R73","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-90.489755,180.000000,bottom
"R88","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-98.135468,180.000000,bottom
"R89","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-95.586897,180.000000,bottom
"R104","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-103.232610,180.000000,bottom
"R105","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-100.684039,180.000000,bottom
"R120","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-108.329752,180.000000,bottom
"R121","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-105.781181,180.000000,bottom
"R136","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-113.426900,180.000000,bottom
"R137","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.353200,-110.878323,180.000000,bottom
"C17","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",124.443850,-100.685000,180.000000,top
